subject,trial,movement,noise,sound,tp_evt,fp_evt,fn_evt,se_evt,ppv_evt,f1_evt,true_dur,pred_dur,tp_dur,fp_dur,se_dur,ppv_dur,f1_dur,n_pred,n_true,duration
14287,1,sit,nothing,cough,10,3,0,1.0,0.7692307692307693,0.8695652173913043,361,414,192,222,0.5318559556786704,0.463768115942029,0.49548387096774194,18,10,11.22
14287,1,sit,nothing,laugh,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,11.78
14287,1,sit,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,16.38
14287,1,sit,nothing,throat_clearing,0,3,0,nan,0.0,0.0,0,69,0,69,nan,0.0,0.0,3,0,10.17
14287,1,sit,traffic,cough,5,6,5,0.5,0.45454545454545453,0.47619047619047616,304,304,28,276,0.09210526315789473,0.09210526315789473,0.09210526315789473,18,10,10.12
14287,1,sit,traffic,laugh,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,14.26
14287,1,sit,traffic,deep_breathing,0,1,0,nan,0.0,0.0,0,23,0,23,nan,0.0,0.0,1,0,13.14
14287,1,sit,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,11.79
14287,1,sit,music,cough,8,2,5,0.6153846153846154,0.8,0.6956521739130435,427,288,181,107,0.4238875878220141,0.6284722222222222,0.5062937062937063,14,13,12.18
14287,1,sit,music,laugh,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,17.55
14287,1,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,14.22
14287,1,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,13.88
14287,1,sit,someone_else_cough,cough,8,3,2,0.8,0.7272727272727273,0.7619047619047619,338,317,153,164,0.4526627218934911,0.48264984227129337,0.467175572519084,17,10,9.85
14287,1,sit,someone_else_cough,laugh,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,9.46
14287,1,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,12.66
